Date,Close,High,Low,Open,Volume
2021-08-20,15092.5703125,15103.9404296875,14968.8701171875,14974.0595703125,3886340000
2021-08-23,15312.8203125,15341.4697265625,15140.1396484375,15140.1396484375,3906780000
2021-08-24,15357.6796875,15384.419921875,15319.5498046875,15338.919921875,3809750000
2021-08-25,15368.919921875,15404.3603515625,15341.919921875,15384.830078125,3654150000
2021-08-26,15278.51953125,15369.2802734375,15265.23046875,15348.98046875,3630900000
2021-08-27,15432.9501953125,15447.0302734375,15292.740234375,15305.75,4048610000
2021-08-30,15605.08984375,15620.6201171875,15459.740234375,15460.9296875,4061760000
2021-08-31,15582.509765625,15604.4501953125,15522.7802734375,15601.33984375,4188020000
2021-09-01,15611.5703125,15696.419921875,15603.669921875,15637.1298828125,4271690000
2021-09-02,15604.25,15681.759765625,15554.2900390625,15656.2802734375,4050510000
2021-09-03,15652.8603515625,15668.1201171875,15554.9697265625,15578.9599609375,3706990000
2021-09-07,15675.759765625,15701.400390625,15610.23046875,15662.2998046875,4014250000
2021-09-08,15620.849609375,15669.009765625,15528.4501953125,15669.009765625,4131560000
2021-09-09,15561.0498046875,15675.4599609375,15556.740234375,15639.4404296875,4031140000
2021-09-10,15440.75,15673.5,15433.4296875,15648.0498046875,4587150000
2021-09-13,15434.5,15562.2802734375,15351.7001953125,15545.66015625,4723370000
2021-09-14,15382.900390625,15525.9697265625,15352.0595703125,15505.7802734375,4593140000
2021-09-15,15503.5302734375,15518.9501953125,15316.400390625,15419.9501953125,4465140000
2021-09-16,15515.91015625,15539.1396484375,15370.8798828125,15452.669921875,3701500000
2021-09-17,15333.4697265625,15485.2099609375,15291.0400390625,15481.4296875,6709540000
2021-09-20,15012.1904296875,15157.259765625,14821.0302734375,15068.650390625,4879490000
2021-09-21,15027.76953125,15139.900390625,14986.98046875,15096.9697265625,4083010000
2021-09-22,15176.509765625,15230.33984375,15029.900390625,15073.9599609375,4252490000
2021-09-23,15316.580078125,15356.919921875,15199.4296875,15231.2001953125,4196130000
2021-09-24,15329.6796875,15345.5400390625,15209.16015625,15222.9697265625,3992150000
2021-09-27,15204.8203125,15240.580078125,15106.4501953125,15205.23046875,4650790000
2021-09-28,14770.2998046875,15040.5703125,14758.98046875,15001.98046875,4989510000
2021-09-29,14752.8896484375,14914.919921875,14727.41015625,14835.509765625,5294600000
2021-09-30,14689.6201171875,14888.2197265625,14684.5498046875,14830.2998046875,5950950000
2021-10-01,14791.8701171875,14830.83984375,14555.1201171875,14731.3798828125,4710720000
2021-10-04,14472.1201171875,14727.599609375,14384.9296875,14713.599609375,4557110000
2021-10-05,14674.150390625,14763.6396484375,14520.23046875,14533.4296875,4176390000
2021-10-06,14766.75,14775.6396484375,14499.48046875,14529.8896484375,4465910000
2021-10-07,14897.1298828125,15010.3203125,14878.2197265625,14899.0703125,3984180000
2021-10-08,14820.75,14948.349609375,14805.5,14942.3603515625,3571380000
2021-10-11,14713.73046875,14907.5703125,14709.0498046875,14765.6904296875,3539540000
2021-10-12,14662.1103515625,14784.7802734375,14636.330078125,14772.2900390625,4063830000
2021-10-13,14774.599609375,14800.830078125,14676.580078125,14751.7998046875,4053580000
2021-10-14,15052.419921875,15059.8896484375,14901.58984375,14925.580078125,4262400000
2021-10-15,15146.919921875,15150.1396484375,15064.58984375,15106.9697265625,4494440000
2021-10-18,15300.8896484375,15307.509765625,15074.7099609375,15091.580078125,4167740000
2021-10-19,15410.7197265625,15414.9697265625,15320.6201171875,15349.4501953125,4483400000
2021-10-20,15388.7099609375,15457.1103515625,15333.4296875,15448.0,4117050000
2021-10-21,15489.58984375,15497.580078125,15350.5,15365.8095703125,4961860000
2021-10-22,15355.0703125,15474.2802734375,15291.9501953125,15422.0703125,5775770000
2021-10-25,15514.1904296875,15555.650390625,15338.490234375,15417.25,5750200000
2021-10-26,15559.490234375,15710.7900390625,15518.58984375,15615.3603515625,7173230000
2021-10-27,15598.3896484375,15729.75,15578.6796875,15603.16015625,6130110000
2021-10-28,15778.16015625,15784.0,15650.009765625,15674.3896484375,5714890000
2021-10-29,15850.4697265625,15856.900390625,15638.740234375,15638.740234375,5338290000
2021-11-01,15905.2802734375,15910.349609375,15785.3095703125,15879.6103515625,5273950000
2021-11-02,15972.490234375,15988.330078125,15877.26953125,15885.33984375,5129370000
2021-11-03,16144.5,16157.599609375,15950.58984375,16000.599609375,5325110000
2021-11-04,16346.240234375,16387.94921875,16169.5595703125,16193.2197265625,5297250000
2021-11-05,16359.3798828125,16454.48046875,16302.0595703125,16397.58984375,5566400000
2021-11-08,16336.0302734375,16401.9296875,16314.0,16351.490234375,5723650000
2021-11-09,16219.9404296875,16401.890625,16168.6298828125,16389.990234375,5574660000
2021-11-10,15985.5703125,16224.509765625,15905.2802734375,16087.01953125,5369110000
2021-11-11,16032.4697265625,16116.25,16019.3896484375,16114.0498046875,4570460000
2021-11-12,16199.8896484375,16218.5498046875,16012.7802734375,16078.1298828125,5446540000
2021-11-15,16189.1201171875,16256.73046875,16096.3701171875,16227.009765625,5020180000
2021-11-16,16309.76953125,16329.5,16156.6904296875,16170.2900390625,5533020000
2021-11-17,16308.0703125,16398.94921875,16276.76953125,16329.0703125,5049320000
